fixture	sample	label	kind	base_gas	candidate_gas	gas_delta	gas_pct	cycles_delta	base_storage_bytes	candidate_storage_bytes	storage_delta_bytes	storage_delta_ugnot	deposits_delta_ugnot	refunds_delta_ugnot	fee_ugnot	buffered_fee_ugnot	historical143_fee_ugnot	net_delta_ugnot	buffered_net_delta_ugnot	historical143_net_delta_ugnot
poc_proposal_metadata_filetest.gno	112	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) create 57	paid	2621589	2702079	80490	3.0702753177557582	74653	19531	18735	-796	-79600	-79600	0	81	89	11510	-79519	-79511	-68090
poc_proposal_metadata_filetest.gno	113	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) vote 57	paid	1123309	1348347	225038	20.03349033970172	188249	4507	4471	-36	-3600	-3600	0	225	248	32180	-3375	-3352	28580
poc_proposal_metadata_filetest.gno	114	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) create 58	paid	2302685	2384831	82146	3.5674006648760033	74653	12937	12141	-796	-79600	-79600	0	82	91	11747	-79518	-79509	-67853
poc_proposal_metadata_filetest.gno	115	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) vote 58	paid	1124506	1349544	225038	20.012165341936814	188249	4471	4435	-36	-3600	-3600	0	225	248	32180	-3375	-3352	28580
poc_proposal_metadata_filetest.gno	116	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) create 59	paid	2303639	2385785	82146	3.565923306559752	74653	12925	12129	-796	-79600	-79600	0	82	90	11747	-79518	-79510	-67853
poc_proposal_metadata_filetest.gno	117	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) vote 59	paid	1136631	1364401	227770	20.039045213442183	190981	4471	4435	-36	-3600	-3600	0	228	250	32571	-3372	-3350	28971
poc_proposal_metadata_filetest.gno	118	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) create 60	paid	2299359	2381643	82284	3.5785625472142453	74653	12925	12129	-796	-79600	-79600	0	82	90	11766	-79518	-79510	-67834
poc_proposal_metadata_filetest.gno	119	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) vote 60	paid	1138808	1366823	228015	20.022251336485166	191226	4471	4435	-36	-3600	-3600	0	228	251	32606	-3372	-3349	29006
poc_proposal_metadata_filetest.gno	120	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) create 61	paid	2300560	2382844	82284	3.5766943700664187	74653	12925	12129	-796	-79600	-79600	0	82	91	11766	-79518	-79509	-67834
poc_proposal_metadata_filetest.gno	121	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) vote 61	paid	1140009	1368025	228016	20.00124560420137	191227	4471	4435	-36	-3600	-3600	0	228	250	32606	-3372	-3350	29006
poc_proposal_metadata_filetest.gno	122	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) create 62	paid	2307963	2390247	82284	3.5652217994829205	74653	12925	12129	-796	-79600	-79600	0	83	91	11767	-79517	-79509	-67833
poc_proposal_metadata_filetest.gno	123	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) vote 62	paid	1141202	1369217	228015	19.980248895462854	191226	4471	4435	-36	-3600	-3600	0	228	251	32607	-3372	-3349	29007
poc_proposal_metadata_filetest.gno	124	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) create 63	paid	2308914	2391198	82284	3.5637533489770514	74653	12925	12129	-796	-79600	-79600	0	83	91	11767	-79517	-79509	-67833
poc_proposal_metadata_filetest.gno	125	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) vote 63	paid	1143383	1371644	228261	19.96365172475015	191472	4471	4435	-36	-3600	-3600	0	228	251	32642	-3372	-3349	29042
poc_proposal_metadata_filetest.gno	126	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) create 64	paid	2309622	2391906	82284	3.562660902952951	74653	12925	12129	-796	-79600	-79600	0	82	91	11767	-79518	-79509	-67833
poc_proposal_metadata_filetest.gno	127	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) vote 64	paid	1144584	1372846	228262	19.94279144213094	191473	4471	4435	-36	-3600	-3600	0	228	251	32641	-3372	-3349	29041
poc_proposal_metadata_filetest.gno	128	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) create 65	paid	2622611	2703101	80490	3.0690788683491377	74653	19531	18735	-796	-79600	-79600	0	81	89	11510	-79519	-79511	-68090
poc_proposal_metadata_filetest.gno	129	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) vote 65	paid	1149001	1379994	230993	20.103811920094063	194204	4507	4471	-36	-3600	-3600	0	230	254	33032	-3370	-3346	29432
poc_proposal_metadata_filetest.gno	130	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) create 66	paid	2314332	2396616	82284	3.555410373274016	74653	12937	12141	-796	-79600	-79600	0	82	91	11767	-79518	-79509	-67833
poc_proposal_metadata_filetest.gno	131	Proposal metadata lifecycle text (4KiB, 96 proposals, total 128) vote 66	paid	1150198	1381191	230993	20.082890076317295	194204	4471	4435	-36	-3600	-3600	0	231	254	33032	-3369	-3346	29432
