fixture	sample	label	kind	base_gas	candidate_gas	gas_delta	gas_pct	cycles_delta	base_storage_bytes	candidate_storage_bytes	storage_delta_bytes	storage_delta_ugnot	deposits_delta_ugnot	refunds_delta_ugnot	fee_ugnot	buffered_fee_ugnot	historical143_fee_ugnot	net_delta_ugnot	buffered_net_delta_ugnot	historical143_net_delta_ugnot
poc_launchpad_numerics_filetest.gno	138	Launchpad Numerics DepositGns call=138/256	paid	6132547	6173777	41230	0.6723144559674797	39541	3956	3956	0	0	0	0	41	46	5896	41	46	5896
poc_launchpad_numerics_filetest.gno	139	Launchpad Numerics DepositGns call=139/256	paid	6132041	6173271	41230	0.672369933599596	39541	3956	3956	0	0	0	0	41	45	5896	41	45	5896
poc_launchpad_numerics_filetest.gno	140	Launchpad Numerics DepositGns call=140/256	paid	6867783	6908989	41206	0.5999898366037483	39541	24222	24222	0	0	0	0	41	45	5893	41	45	5893
poc_launchpad_numerics_filetest.gno	141	Launchpad Numerics DepositGns call=141/256	paid	6158642	6199884	41242	0.6696606167398592	39541	4076	4076	0	0	0	0	41	45	5898	41	45	5898
poc_launchpad_numerics_filetest.gno	142	Launchpad Numerics DepositGns call=142/256	paid	6156305	6197547	41242	0.6699148271568741	39541	3956	3956	0	0	0	0	41	46	5898	41	46	5898
poc_launchpad_numerics_filetest.gno	143	Launchpad Numerics DepositGns call=143/256	paid	6167005	6208247	41242	0.6687524981737488	39541	3956	3956	0	0	0	0	41	46	5898	41	46	5898
poc_launchpad_numerics_filetest.gno	144	Launchpad Numerics DepositGns call=144/256	paid	6167967	6209209	41242	0.6686481947779552	39541	3956	3956	0	0	0	0	42	46	5897	42	46	5897
poc_launchpad_numerics_filetest.gno	145	Launchpad Numerics DepositGns call=145/256	paid	6168927	6210169	41242	0.668544140658497	39541	3956	3956	0	0	0	0	42	46	5898	42	46	5898
poc_launchpad_numerics_filetest.gno	146	Launchpad Numerics DepositGns call=146/256	paid	6169400	6210642	41242	0.6684928842350958	39541	3956	3956	0	0	0	0	41	45	5897	41	45	5897
poc_launchpad_numerics_filetest.gno	147	Launchpad Numerics DepositGns call=147/256	paid	6170852	6212094	41242	0.668335588019288	39541	3956	3956	0	0	0	0	42	46	5898	42	46	5898
poc_launchpad_numerics_filetest.gno	148	Launchpad Numerics DepositGns call=148/256	paid	6492815	6534057	41242	0.6351944418561133	39541	10634	10634	0	0	0	0	42	45	5898	42	45	5898
poc_launchpad_numerics_filetest.gno	149	Launchpad Numerics DepositGns call=149/256	paid	6160383	6201625	41242	0.6694713624136681	39541	4004	4004	0	0	0	0	41	45	5898	41	45	5898
poc_launchpad_numerics_filetest.gno	150	Launchpad Numerics DepositGns call=150/256	paid	6158823	6200065	41242	0.6696409362633088	39541	3956	3956	0	0	0	0	42	46	5898	42	46	5898
poc_launchpad_numerics_filetest.gno	151	Launchpad Numerics DepositGns call=151/256	paid	6165746	6206988	41242	0.6688890525169218	39541	3956	3956	0	0	0	0	41	45	5898	41	45	5898
poc_launchpad_numerics_filetest.gno	152	Launchpad Numerics DepositGns call=152/256	paid	6166708	6207950	41242	0.6687847065241292	39541	3956	3956	0	0	0	0	41	45	5897	41	45	5897
poc_launchpad_numerics_filetest.gno	153	Launchpad Numerics DepositGns call=153/256	paid	6167668	6208910	41242	0.6686806099160979	39541	3956	3956	0	0	0	0	41	45	5898	41	45	5898
poc_launchpad_numerics_filetest.gno	154	Launchpad Numerics DepositGns call=154/256	paid	6169115	6210357	41242	0.6685237671854066	39541	3956	3956	0	0	0	0	41	45	5898	41	45	5898
poc_launchpad_numerics_filetest.gno	155	Launchpad Numerics DepositGns call=155/256	paid	6170075	6211317	41242	0.6684197517858372	39541	3956	3956	0	0	0	0	41	45	5898	41	45	5898
poc_launchpad_numerics_filetest.gno	156	Launchpad Numerics DepositGns call=156/256	paid	6493468	6534710	41242	0.6351305650539897	39541	10620	10620	0	0	0	0	41	46	5898	41	46	5898
poc_launchpad_numerics_filetest.gno	157	Launchpad Numerics DepositGns call=157/256	paid	6159592	6200834	41242	0.6695573343169483	39541	4004	4004	0	0	0	0	41	45	5898	41	45	5898
poc_launchpad_numerics_filetest.gno	158	Launchpad Numerics DepositGns call=158/256	paid	6160065	6201307	41242	0.6695059224212732	39541	3956	3956	0	0	0	0	41	45	5897	41	45	5897
poc_launchpad_numerics_filetest.gno	159	Launchpad Numerics DepositGns call=159/256	paid	6167962	6209204	41242	0.6686487368112839	39541	3956	3956	0	0	0	0	42	46	5898	42	46	5898
poc_launchpad_numerics_filetest.gno	160	Launchpad Numerics DepositGns call=160/256	paid	6157866	6199108	41242	0.6697450058185742	39541	3956	3956	0	0	0	0	42	46	5898	42	46	5898
poc_launchpad_numerics_filetest.gno	161	Launchpad Numerics DepositGns call=161/256	paid	6158341	6199583	41242	0.6696933476077405	39541	3956	3956	0	0	0	0	41	45	5898	41	45	5898
poc_launchpad_numerics_filetest.gno	162	Launchpad Numerics DepositGns call=162/256	paid	6159299	6200541	41242	0.6695891853926883	39541	3956	3956	0	0	0	0	41	45	5898	41	45	5898
poc_launchpad_numerics_filetest.gno	163	Launchpad Numerics DepositGns call=163/256	paid	6166709	6207951	41242	0.6687845980732997	39541	3956	3956	0	0	0	0	41	45	5897	41	45	5897
poc_launchpad_numerics_filetest.gno	164	Launchpad Numerics DepositGns call=164/256	paid	6421177	6462419	41242	0.6422810023769786	39541	10342	10342	0	0	0	0	41	45	5897	41	45	5897
poc_launchpad_numerics_filetest.gno	165	Launchpad Numerics DepositGns call=165/256	paid	6135662	6176904	41242	0.672168708119841	39541	4004	4004	0	0	0	0	41	45	5898	41	45	5898
poc_launchpad_numerics_filetest.gno	166	Launchpad Numerics DepositGns call=166/256	paid	6142585	6183827	41242	0.6714111404237793	39541	3956	3956	0	0	0	0	41	46	5898	41	46	5898
poc_launchpad_numerics_filetest.gno	167	Launchpad Numerics DepositGns call=167/256	paid	6144519	6185761	41242	0.67119981238564	39541	3956	3956	0	0	0	0	41	46	5897	41	46	5897
poc_launchpad_numerics_filetest.gno	168	Launchpad Numerics DepositGns call=168/256	paid	6137335	6178577	41242	0.671985479039355	39541	3956	3956	0	0	0	0	41	45	5898	41	45	5898
poc_launchpad_numerics_filetest.gno	169	Launchpad Numerics DepositGns call=169/256	paid	6146439	6187681	41242	0.67099014567622	39541	3956	3956	0	0	0	0	41	45	5898	41	45	5898
poc_launchpad_numerics_filetest.gno	170	Launchpad Numerics DepositGns call=170/256	paid	6165427	6206669	41242	0.6689236609240528	39541	3938	3938	0	0	0	0	41	46	5897	41	46	5897
poc_launchpad_numerics_filetest.gno	171	Launchpad Numerics DepositGns call=171/256	paid	6159822	6201064	41242	0.6695323338888689	39541	3914	3914	0	0	0	0	42	46	5898	42	46	5898
poc_launchpad_numerics_filetest.gno	172	Launchpad Numerics DepositGns call=172/256	paid	6162838	6204080	41242	0.6692046748592126	39541	3914	3914	0	0	0	0	42	45	5898	42	45	5898
poc_launchpad_numerics_filetest.gno	173	Launchpad Numerics DepositGns call=173/256	paid	6167954	6209196	41242	0.6686496040664376	39541	3914	3914	0	0	0	0	42	46	5898	42	46	5898
poc_launchpad_numerics_filetest.gno	174	Launchpad Numerics DepositGns call=174/256	paid	6169768	6211010	41242	0.6684530115232858	39541	3914	3914	0	0	0	0	42	46	5898	42	46	5898
poc_launchpad_numerics_filetest.gno	175	Launchpad Numerics DepositGns call=175/256	paid	6163676	6204918	41242	0.6691136912452893	39541	3914	3914	0	0	0	0	41	45	5898	41	45	5898
poc_launchpad_numerics_filetest.gno	176	Launchpad Numerics DepositGns call=176/256	paid	6171940	6213182	41242	0.668217772693837	39541	3914	3914	0	0	0	0	42	45	5898	42	45	5898
poc_launchpad_numerics_filetest.gno	177	Launchpad Numerics DepositGns call=177/256	paid	6171309	6212551	41242	0.6682860961912619	39541	3914	3914	0	0	0	0	41	45	5897	41	45	5897
poc_launchpad_numerics_filetest.gno	178	Launchpad Numerics DepositGns call=178/256	paid	6471687	6512929	41242	0.6372681497111958	39541	10350	10350	0	0	0	0	41	46	5897	41	46	5897
poc_launchpad_numerics_filetest.gno	179	Launchpad Numerics DepositGns call=179/256	paid	6182585	6223827	41242	0.6670672542310376	39541	4004	4004	0	0	0	0	41	46	5898	41	46	5898
poc_launchpad_numerics_filetest.gno	180	Launchpad Numerics DepositGns call=180/256	paid	6186988	6228230	41242	0.6665925325861307	39541	3956	3956	0	0	0	0	42	46	5897	42	46	5897
poc_launchpad_numerics_filetest.gno	181	Launchpad Numerics DepositGns call=181/256	paid	6182481	6223723	41242	0.6670784754534628	39541	3956	3956	0	0	0	0	41	46	5898	41	46	5898
poc_launchpad_numerics_filetest.gno	182	Launchpad Numerics DepositGns call=182/256	paid	6183439	6224681	41242	0.6669751250072977	39541	3956	3956	0	0	0	0	41	46	5898	41	46	5898
poc_launchpad_numerics_filetest.gno	183	Launchpad Numerics DepositGns call=183/256	paid	6190352	6231594	41242	0.6662302886814837	39541	3956	3956	0	0	0	0	41	45	5897	41	45	5897
poc_launchpad_numerics_filetest.gno	184	Launchpad Numerics DepositGns call=184/256	paid	6190825	6232067	41242	0.6661793864307262	39541	3956	3956	0	0	0	0	42	46	5898	42	46	5898
poc_launchpad_numerics_filetest.gno	185	Launchpad Numerics DepositGns call=185/256	paid	6192766	6234008	41242	0.6659705856801307	39541	3956	3956	0	0	0	0	42	45	5898	42	45	5898
poc_launchpad_numerics_filetest.gno	186	Launchpad Numerics DepositGns call=186/256	paid	6502157	6543399	41242	0.6342818237086555	39541	10622	10622	0	0	0	0	41	45	5898	41	45	5898
poc_launchpad_numerics_filetest.gno	187	Launchpad Numerics DepositGns call=187/256	paid	6181321	6222563	41242	0.6672036608356046	39541	4004	4004	0	0	0	0	41	45	5898	41	45	5898
poc_launchpad_numerics_filetest.gno	188	Launchpad Numerics DepositGns call=188/256	paid	6188244	6229486	41242	0.6664572373035065	39541	3956	3956	0	0	0	0	41	45	5898	41	45	5898
poc_launchpad_numerics_filetest.gno	189	Launchpad Numerics DepositGns call=189/256	paid	6184222	6225464	41242	0.6668906775985727	39541	3956	3956	0	0	0	0	41	46	5898	41	46	5898
poc_launchpad_numerics_filetest.gno	190	Launchpad Numerics DepositGns call=190/256	paid	6187152	6228394	41242	0.6665748635236374	39541	3956	3956	0	0	0	0	41	46	5898	41	46	5898
poc_launchpad_numerics_filetest.gno	191	Launchpad Numerics DepositGns call=191/256	paid	6189091	6230333	41242	0.6663660301650113	39541	3956	3956	0	0	0	0	41	46	5897	41	46	5897
poc_launchpad_numerics_filetest.gno	192	Launchpad Numerics DepositGns call=192/256	paid	6190540	6231782	41242	0.6662100559886537	39541	3956	3956	0	0	0	0	41	45	5897	41	45	5897
poc_launchpad_numerics_filetest.gno	193	Launchpad Numerics DepositGns call=193/256	paid	6190526	6231768	41242	0.666211562636196	39541	3956	3956	0	0	0	0	41	45	5897	41	45	5897
poc_launchpad_numerics_filetest.gno	194	Launchpad Numerics DepositGns call=194/256	paid	6503303	6544545	41242	0.6341700517413997	39541	10622	10622	0	0	0	0	41	45	5897	41	45	5897
poc_launchpad_numerics_filetest.gno	195	Launchpad Numerics DepositGns call=195/256	paid	6180062	6221304	41242	0.6673395833245686	39541	4004	4004	0	0	0	0	41	45	5898	41	45	5898
poc_launchpad_numerics_filetest.gno	196	Launchpad Numerics DepositGns call=196/256	paid	6181509	6222751	41242	0.6671833689799691	39541	3956	3956	0	0	0	0	41	46	5898	41	46	5898
poc_launchpad_numerics_filetest.gno	197	Launchpad Numerics DepositGns call=197/256	paid	6184153	6225395	41242	0.6668981184650509	39541	3956	3956	0	0	0	0	41	45	5898	41	45	5898
