fixture	label	scope	baseline_gas	candidate_gas	gas_delta	baseline_net_bytes	candidate_net_bytes	storage_delta_bytes	cpu_delta	baseline_deposits_ugnot	candidate_deposits_ugnot	baseline_refunds_ugnot	candidate_refunds_ugnot	storage_delta_ugnot	gas_fee_delta_ugnot	net_delta_ugnot	storage_delta_gnot	gas_fee_delta_gnot	net_delta_gnot
staker_tick_cross_long_history_10_filetest.gno	Long-history accumulated-reward Swap (10 staked tick-crosses, visit 29)	execution-segment-repricing	135734431	135845514	111083	35401	35401	0	198930	3540100	3540100	0	0	0	111.083	111.083	0.000000	+0.000111	+0.000111
staker_tick_cross_long_history_10_filetest.gno	Long-history accumulated-reward Reverse swap (10 staked tick-crosses, visit 30)	execution-segment-repricing	138697138	138807822	110684	14969	14969	0	198531	1497500	1497500	600	600	0	110.684	110.684	0.000000	+0.000111	+0.000111
staker_tick_cross_long_history_10_filetest.gno	Long-history accumulated-reward Swap (10 staked tick-crosses, visit 31)	execution-segment-repricing	134789290	134900373	111083	14741	14741	0	198930	1474100	1474100	0	0	0	111.083	111.083	0.000000	+0.000111	+0.000111
staker_tick_cross_long_history_10_filetest.gno	Long-history accumulated-reward Reverse swap (10 staked tick-crosses, visit 32)	execution-segment-repricing	142603000	142713684	110684	104110	104110	0	198531	10411500	10411500	500	500	0	110.684	110.684	0.000000	+0.000111	+0.000111
staker_tick_cross_long_history_10_filetest.gno	Long-history accumulated-reward Swap (10 staked tick-crosses, visit 33)	execution-segment-repricing	135164459	135275479	111020	15715	15701	-14	198930	1571500	1570100	0	0	-1400	111.02	-1288.98	-0.001400	+0.000111	-0.001289
staker_tick_cross_revisit_10_filetest.gno	Accumulated-reward Swap (10 staked tick-crosses, first visit)	execution-segment-repricing	110311916	110421850	109934	34722	34728	6	198930	3472800	3472800	600	0	600	109.934	709.934	+0.000600	+0.000110	+0.000710
staker_tick_cross_revisit_10_filetest.gno	Accumulated-reward Reverse swap (10 staked tick-crosses, reverse visit)	execution-segment-repricing	131622361	131733045	110684	15195	15195	0	198531	1519500	1519500	0	0	0	110.684	110.684	0.000000	+0.000111	+0.000111
staker_tick_cross_revisit_10_filetest.gno	Accumulated-reward Swap (10 staked tick-crosses, third visit)	execution-segment-repricing	132500299	132611382	111083	14651	14651	0	198930	1465100	1465100	0	0	0	111.083	111.083	0.000000	+0.000111	+0.000111
staker_tick_cross_revisit_1_filetest.gno	Accumulated-reward Swap (1 staked tick-cross, first visit)	execution-segment-repricing	31632123	31927124	295001	5456	5462	6	357366	546200	546200	600	0	600	295.001	895.001	+0.000600	+0.000295	+0.000895
staker_tick_cross_revisit_1_filetest.gno	Accumulated-reward Reverse swap (1 staked tick-cross, reverse visit)	execution-segment-repricing	33517609	33813360	295751	3390	3390	0	356967	339000	339000	0	0	0	295.751	295.751	0.000000	+0.000296	+0.000296
staker_tick_cross_revisit_1_filetest.gno	Accumulated-reward Swap (1 staked tick-cross, third visit)	execution-segment-repricing	35473262	35769412	296150	3341	3341	0	357366	334100	334100	0	0	0	296.15	296.15	0.000000	+0.000296	+0.000296
staker_tick_cross_revisit_50_filetest.gno	Accumulated-reward Swap (50 staked tick-crosses, first visit)	execution-segment-repricing	468208251	467546587	-661664	165281	165287	6	-505230	16528700	16528700	600	0	600	-661.664	-61.664	+0.000600	-0.000662	-0.000062
staker_tick_cross_revisit_50_filetest.gno	Accumulated-reward Reverse swap (50 staked tick-crosses, reverse visit)	execution-segment-repricing	576757600	576096686	-660914	68151	68151	0	-505629	6815100	6815100	0	0	0	-660.914	-660.914	0.000000	-0.000661	-0.000661
staker_tick_cross_revisit_50_filetest.gno	Accumulated-reward Swap (50 staked tick-crosses, third visit)	execution-segment-repricing	573720870	573060355	-660515	65368	65368	0	-505230	6536800	6536800	0	0	0	-660.515	-660.515	0.000000	-0.000661	-0.000661
staker_tick_no_cross_false_filetest.gno	No-cross control (boundary staked=false)	execution-segment-repricing	15229635	15545202	315567	0	6	6	374970	600	600	600	0	600	315.567	915.567	+0.000600	+0.000316	+0.000916
staker_tick_no_cross_true_filetest.gno	No-cross control (boundary staked=true)	execution-segment-repricing	15414465	15730029	315564	0	6	6	374970	600	600	600	0	600	315.564	915.564	+0.000600	+0.000316	+0.000916
version_manager_filetest.gno	RegisterInitializer (v1)	execution-segment-repricing	71548	71548	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
version_manager_filetest.gno	RegisterInitializer (v2)	execution-segment-repricing	55268	55268	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
