fixture	label	scope	baseline_gas	candidate_gas	gas_delta	baseline_net_bytes	candidate_net_bytes	storage_delta_bytes	cpu_delta	baseline_deposits_ugnot	candidate_deposits_ugnot	baseline_refunds_ugnot	candidate_refunds_ugnot	storage_delta_ugnot	gas_fee_delta_ugnot	net_delta_ugnot	storage_delta_gnot	gas_fee_delta_gnot	net_delta_gnot
pool_remaining_pointer_binary_filetest.gno	Remaining pool repeat no-cross exact-in forward stage-10	execution-segment-repricing	224151625	225001373	849748	126	126	0	479360	12600	12600	0	0	0	849.748	849.748	0.000000	+0.000850	+0.000850
pool_remaining_pointer_binary_filetest.gno	Remaining pool repeat no-cross exact-in forward stage-100	execution-segment-repricing	2265498211	2273994711	8496500	74	75	1	4793600	7400	7500	0	0	100	8496.5	8596.5	+0.000100	+0.008497	+0.008597
pool_remaining_pointer_binary_filetest.gno	Remaining pool repeat no-cross exact-in forward stage-1000	execution-segment-repricing	22879349691	22964328427	84978736	78	70	-8	47936000	7800	7000	0	0	-800	84978.736	84178.736	-0.000800	+0.084979	+0.084179
pool_remaining_pointer_binary_filetest.gno	Remaining pool repeat no-cross exact-in reverse stage-1	execution-segment-repricing	24572279	24657730	85451	3075	3070	-5	48335	307500	307000	0	0	-500	85.451	-414.549	-0.000500	+0.000085	-0.000415
pool_remaining_pointer_binary_filetest.gno	Remaining pool repeat no-cross exact-in reverse stage-10	execution-segment-repricing	241914586	242767854	853268	10	10	0	483350	1000	1000	0	0	0	853.268	853.268	0.000000	+0.000853	+0.000853
pool_remaining_pointer_binary_filetest.gno	Remaining pool repeat no-cross exact-in reverse stage-100	execution-segment-repricing	2437903645	2446438569	8534924	0	0	0	4833500	0	0	0	0	0	8534.924	8534.924	0.000000	+0.008535	+0.008535
pool_remaining_pointer_binary_filetest.gno	Remaining pool repeat no-cross exact-in reverse stage-1000	execution-segment-repricing	24239993269	24325405372	85412103	23	33	10	48346668	2300	3300	0	0	1000	85412.103	86412.103	+0.001000	+0.085412	+0.086412
pool_remaining_pointer_binary_filetest.gno	Remaining pool repeat exact-out forward control	execution-segment-repricing	24716970	24802334	85364	5	0	-5	47936	1900	1400	1400	1400	-500	85.364	-414.636	-0.000500	+0.000085	-0.000415
pool_remaining_pointer_binary_filetest.gno	Remaining pool repeat exact-out reverse control	execution-segment-repricing	23968538	24054289	85751	0	0	0	48335	1400	1400	1400	1400	0	85.751	85.751	0.000000	+0.000086	+0.000086
pool_remaining_pointer_binary_filetest.gno	Remaining pool repeat crossing exact-in forward	execution-segment-repricing	31638271	31749336	111065	78	84	6	71691	9200	9800	1400	1400	600	111.065	711.065	+0.000600	+0.000111	+0.000711
