fixture	workload	assumed_refund_realms	baseline_gas	candidate_gas	gas_delta	baseline_net_bytes	candidate_net_bytes	storage_delta_bytes	cpu_delta	deposit_gain_ugnot	refund_gain_ugnot	storage_gain_ugnot	gas_repricing_gain_ugnot	net_gain_ugnot	net_5pct_gas_margin_ugnot	net_fixed_fee_ugnot
gov_staker_collect_reward_pf_token_count_filetest.gno	gov/staker CollectReward (3 protocol-fee tokens)	gno.land/r/onbloc/bar,gno.land/r/onbloc/baz,gno.land/r/onbloc/qux	8186417	8186417	0	-3992	-3992	0	0	0	0	0	0	0	0	0
gov_staker_collect_reward_pf_token_count_filetest.gno	gov/staker CollectReward (4 protocol-fee tokens)	gno.land/r/onbloc/bar,gno.land/r/onbloc/baz,gno.land/r/onbloc/obl,gno.land/r/onbloc/qux	10495832	10495832	0	-6122	-6122	0	0	0	0	0	0	0	0	0
gov_staker_collect_reward_pf_token_count_filetest.gno	gov/staker CollectReward (4 protocol-fee tokens but zero amount)		1701190	1701190	0	0	0	0	0	0	0	0	0	0	0	0
gov_staker_delegate_undelegate_filetest.gno	Delegate		4989756	4991820	2064	38285	38285	0	0	0	0	0	-2.064	-2.064	-2.1672	0
gov_staker_delegate_undelegate_filetest.gno	Undelegate		2279200	2279200	0	840	840	0	0	0	0	0	0	0	0	0
gov_staker_optimizations_filetest.gno	Undelegate (5 delegations, cached external calls)		9705646	9705646	0	3510	3510	0	0	0	0	0	0	0	0	0
gov_staker_optimizations_filetest.gno	Delegate (cached external calls)		3046853	3046853	0	3210	3210	0	0	0	0	0	0	0	0	0
gov_staker_optimizations_filetest.gno	Undelegate (early exit, 3 of 10 delegations)		6656620	6656620	0	2088	2088	0	0	0	0	0	0	0	0	0
gov_staker_redelegate_filetest.gno	Redelegate		4363314	4363314	0	1423	1423	0	0	0	0	0	0	0	0	0
gov_staker_redelegate_many_delegations_filetest.gno	Redelegate (50 of 100 delegations, optimized)		123363976	123363976	0	-118826	-118826	0	0	0	0	0	0	0	0	0
gov_staker_undelegate_many_delegatees_filetest.gno	Undelegate (50 delegatees, large AVL traversal)		2459149	2459149	0	708	708	0	0	0	0	0	0	0	0	0
launchpad_collect_deposit_gns_accumulation_filetest.gno	CollectDepositGns (deposit 1/5, remaining 4)		7721509	7721509	0	1850	1850	0	0	0	0	0	0	0	0	0
launchpad_collect_deposit_gns_accumulation_filetest.gno	CollectDepositGns (deposit 2/5, remaining 3)		7380514	7380514	0	-2257	-2257	0	0	0	0	0	0	0	0	0
launchpad_collect_deposit_gns_accumulation_filetest.gno	CollectDepositGns (deposit 3/5, remaining 2)		7354134	7354134	0	-2257	-2257	0	0	0	0	0	0	0	0	0
launchpad_collect_deposit_gns_accumulation_filetest.gno	CollectDepositGns (deposit 4/5, remaining 1)		7359580	7359580	0	-2257	-2257	0	0	0	0	0	0	0	0	0
launchpad_collect_deposit_gns_accumulation_filetest.gno	CollectDepositGns (deposit 5/5, remaining 0)		7231937	7231937	0	-8456	-8456	0	0	0	0	0	0	0	0	0
launchpad_collect_deposit_gns_filetest.gno	Launchpad CollectDepositGns		7588751	7588751	0	-4155	-4155	0	0	0	0	0	0	0	0	0
launchpad_collect_protocol_fee_1_token_filetest.gno	CollectProtocolFee (1 token)		3584812	3584812	0	4426	4426	0	0	0	0	0	0	0	0	0
launchpad_collect_protocol_fee_2_tokens_filetest.gno	CollectProtocolFee (2 tokens)		5670124	5670124	0	8750	8750	0	0	0	0	0	0	0	0	0
